Locations,Number of Fights
 New York,12
 New Mexico,11
 California,55
 Georgia,35
 New Jersey,34
 Michigan,11
 Texas,34
 Maryland,10
 Maine,10
 Idaho,13
 Massachusetts,71
 New York,32
 Colorado,21
 New York,13
 North Carolina,23
 Illinois,80
 Ohio,13
 Ohio,10
 Texas,49
 Colorado,43
 Michigan,13
 Georgia,12
 New Jersey,12
 Alberta,22
 Virginia,22
 Kentucky,12
 California,13
 Arizona,28
 South Carolina,11
 Texas,11
 Florida,9
 Texas,82
 Indiana,22
 Florida,46
 Missouri,13
 Texas,11
 Nevada,1251
 Connecticut,9
 Nebraska,13
 California,55
 Kentucky,11
 Wisconsin,36
 Minnesota,22
 Tennessee,48
 Louisiana,24
 New York,44
 New Jersey,79
 Virginia,25
 California,11
 Oklahoma,11
 Nebraska,9
 Florida,37
 Pennsylvania,24
 Arizona,36
 Pennsylvania,33
 Oregon,12
 North Carolina,12
 New Mexico,13
 New York,13
 Zuid-Holland,25
 California,43
 Utah,12
 Texas,24
 California,22
 California,46
 Washington,35
 South Dakota,12
 Missouri,11
 Florida,25
 Florida,25
 Oklahoma,11
 New York,13
 New York,12
 DC,20
 Kansas,13
