"","R_fighter","B_fighter","Winner","date","R_Stance","B_Stance"
"3","Misha Cirkunov","Krzysztof Jotko","Southpaw","2021-10-02","Orthodox","Southpaw"
"6","Antonina Shevchenko","Casey O'Neill","Orthodox","2021-10-02","Southpaw","Orthodox"
"12","Alexander Volkanovski","Brian Ortega","Orthodox","2021-09-25","Orthodox","Switch"
"13","Valentina Shevchenko","Lauren Murphy","Southpaw","2021-09-25","Southpaw","Orthodox"
"18","Dan Hooker","Nasrat Haqparast","Switch","2021-09-25","Switch","Southpaw"
"22","Cody Brundage","Nick Maximov","Southpaw","2021-09-25","Orthodox","Southpaw"
"23","Matthew Semelsberger","Martin Sano","Switch","2021-09-25","Switch","Orthodox"
"24","Jonathan Pearce","Omar Morales","Switch","2021-09-25","Switch","Orthodox"
"26","Ion Cutelaba","Devin Clark","Southpaw","2021-09-18","Southpaw","Orthodox"
"30","Joaquin Buckley","Antonio Arroyo","Southpaw","2021-09-18","Southpaw","Orthodox"
"31","Mike Rodriguez","Tafon Nchukwi","Orthodox","2021-09-18","Southpaw","Orthodox"
"33","Rong Zhu","Brandon Jenkins","Orthodox","2021-09-18","Orthodox","Switch"
"34","Montel Jackson","JP Buys","Southpaw","2021-09-18","Southpaw","Orthodox"
"35","Erin Blanchfield","Sarah Alpar","Orthodox","2021-09-18","Orthodox","Southpaw"
"41","Modestas Bukauskas","Khalil Rountree Jr.","Southpaw","2021-09-04","Switch","Southpaw"
"45","Julian Erosa","Charles Jourdain","Southpaw","2021-09-04","Southpaw","Switch"
"50","Kevin Lee","Daniel Rodriguez","Southpaw","2021-08-28","Orthodox","Southpaw"
"51","Andre Petroski","Micheal Gillmore","Switch","2021-08-28","Switch","Orthodox"
"52","Makhmud Muradov","Gerald Meerschaert","Southpaw","2021-08-28","Orthodox","Southpaw"
"54","Sam Alvey","Wellington Turman","Orthodox","2021-08-28","Southpaw","Orthodox"
"56","JJ Aldrich","Vanessa Demopoulos","Southpaw","2021-08-28","Southpaw","Orthodox"
"58","Mana Martinez","Guido Cannetti","Orthodox","2021-08-28","Orthodox","Southpaw"
"59","Jared Cannonier","Kelvin Gastelum","Switch","8/21/2021","Switch","Southpaw"
