"","date","ko_diff","sub_diff"
"1","2021-10-02",7,0
"2","2021-10-02",0,-1
"3","2021-10-02",0,-5
"4","2021-10-02",2,0
"5","2021-10-02",1,-2
"6","2021-10-02",-1,0
"7","2021-10-02",-1,0
"8","2021-10-02",-3,0
"9","2021-10-02",1,0
"11","2021-10-02",1,0
"12","2021-09-25",0,-3
"13","2021-09-25",1,1
"14","2021-09-25",2,-6
"15","2021-09-25",-1,0
"16","2021-09-25",4,-1
"17","2021-09-25",-2,-1
"18","2021-09-25",5,2
"19","2021-09-25",1,0
"20","2021-09-25",-1,0
"21","2021-09-25",1,1
"23","2021-09-25",1,0
"24","2021-09-25",1,0
"25","2021-09-18",5,2
"26","2021-09-18",3,0
"27","2021-09-18",0,1
"28","2021-09-18",0,-2
"29","2021-09-18",-2,1
"30","2021-09-18",2,-1
"31","2021-09-18",-2,0
"32","2021-09-18",0,2
"34","2021-09-18",2,0
"35","2021-09-18",0,-1
"37","2021-09-18",0,-1
"38","2021-09-04",5,2
"39","2021-09-04",1,0
"40","2021-09-04",2,0
"41","2021-09-04",2,0
"42","2021-09-04",-1,0
"43","2021-09-04",-1,0
"44","2021-09-04",0,2
"45","2021-09-04",0,1
"47","2021-08-28",-6,0
"50","2021-08-28",-1,-3
"52","2021-08-28",-1,6
"53","2021-08-28",2,0
"54","2021-08-28",-5,-1
"55","2021-08-28",-1,-1
"59","8/21/2021",2,-2
"60","8/21/2021",-1,-4
"61","8/21/2021",-2,0
"62","8/21/2021",-1,0
"64","8/21/2021",2,0
"65","8/21/2021",-1,0
"66","8/21/2021",2,2
"67","8/21/2021",0,-1
"68","8/21/2021",2,0
"69","8/21/2021",1,-3
"70","8/21/2021",-1,0
"71","8/7/2021",-11,2
"72","8/7/2021",8,-3
"73","8/7/2021",8,-2
"74","8/7/2021",-1,1
"75","8/7/2021",2,0
"76","8/7/2021",0,-3
"77","8/7/2021",0,-1
"78","8/7/2021",0,-4
"79","8/7/2021",1,2
"80","8/7/2021",-1,-1
"81","8/7/2021",1,-1
"82","8/7/2021",-1,0
"84","7/31/2021",-5,1
"88","7/31/2021",-3,0
"89","7/31/2021",2,0
"91","7/31/2021",-2,0
"93","7/24/2021",3,0
"94","7/24/2021",-1,0
"95","7/24/2021",3,1
"96","7/24/2021",3,0
"97","7/24/2021",1,0
"98","7/24/2021",-1,3
"99","7/24/2021",-2,0
"100","7/24/2021",-1,4
"101","7/24/2021",2,1
"104","7/17/2021",0,2
"105","7/17/2021",-2,2
"106","7/17/2021",-7,0
"107","7/17/2021",-1,2
"108","7/17/2021",0,-1
"109","7/17/2021",1,1
"110","7/17/2021",1,1
"111","7/17/2021",-1,0
"113","7/17/2021",0,2
"114","7/10/2021",2,3
"115","7/10/2021",-2,4
"116","7/10/2021",-1,0
"117","7/10/2021",1,1
"118","7/10/2021",4,0
"119","7/10/2021",-3,-4
"120","7/10/2021",-3,-1
"121","7/10/2021",1,-1
"122","7/10/2021",-2,0
"123","7/10/2021",-1,1
"124","7/10/2021",0,-1
"126","6/26/2021",-3,2
"127","6/26/2021",-7,-5
"128","6/26/2021",-2,-1
"129","6/26/2021",5,2
"130","6/26/2021",0,3
"131","6/26/2021",2,-1
"132","6/26/2021",0,-2
"133","6/26/2021",-3,-3
"134","6/26/2021",-1,0
"135","6/26/2021",1,0
"136","6/26/2021",-1,2
"137","6/26/2021",-1,-3
"138","6/19/2021",2,0
"139","6/19/2021",0,-5
"140","6/19/2021",3,4
"141","6/19/2021",-2,-1
"143","6/19/2021",10,2
"144","6/19/2021",-1,0
"145","6/19/2021",0,2
"146","6/19/2021",1,0
"147","6/19/2021",2,0
"148","6/19/2021",-2,0
"149","6/19/2021",1,0
"150","6/12/2021",4,-2
"151","6/12/2021",-3,-1
"152","6/12/2021",-2,-10
"153","6/12/2021",0,-10
"154","6/12/2021",-1,5
"155","6/12/2021",-6,-1
"156","6/12/2021",1,-1
"157","6/12/2021",1,0
"158","6/12/2021",-1,0
"159","6/12/2021",-1,-1
"160","6/12/2021",0,-1
"161","6/12/2021",0,-1
"162","6/12/2021",-1,0
"163","6/12/2021",-1,0
"164","6/5/2021",2,0
"165","6/5/2021",-3,0
"166","6/5/2021",1,0
"167","6/5/2021",3,-1
"168","6/5/2021",-1,0
"169","6/5/2021",0,2
"170","6/5/2021",1,2
"171","6/5/2021",-3,-2
"172","6/5/2021",-1,-3
"173","6/5/2021",1,0
"174","6/5/2021",1,0
"175","6/5/2021",-1,0
"176","5/22/2021",0,1
"177","5/22/2021",0,1
"179","5/22/2021",-1,-1
"180","5/22/2021",1,1
"181","5/22/2021",0,2
"182","5/22/2021",9,2
"183","5/22/2021",0,-1
"184","5/22/2021",1,0
"187","5/22/2021",0,-1
"188","5/15/2021",0,13
"189","5/15/2021",-2,-1
"190","5/15/2021",1,-1
"191","5/15/2021",-1,0
"192","5/15/2021",5,-1
"193","5/15/2021",-5,-8
"194","5/15/2021",0,1
"196","5/15/2021",-2,-1
"199","5/15/2021",0,1
"200","5/8/2021",2,-4
"201","5/8/2021",-9,-9
"202","5/8/2021",1,0
"203","5/8/2021",3,-1
"205","5/8/2021",2,0
"206","5/8/2021",-1,0
"207","5/8/2021",-1,0
"208","5/8/2021",-1,0
"209","5/1/2021",-2,-1
"210","5/1/2021",-4,-2
"211","5/1/2021",2,1
"213","5/1/2021",1,-1
"214","5/1/2021",0,1
"215","5/1/2021",-1,0
"218","5/1/2021",-2,-1
"219","4/24/2021",-4,0
"220","4/24/2021",0,2
"221","4/24/2021",-2,0
"222","4/24/2021",3,-3
"223","4/24/2021",3,2
"224","4/24/2021",-2,-1
"225","4/24/2021",2,0
"228","4/24/2021",1,0
"232","4/17/2021",2,-2
"233","4/17/2021",9,2
"234","4/17/2021",-4,0
"236","4/17/2021",1,1
"238","4/17/2021",1,2
"239","4/17/2021",1,5
"240","4/17/2021",1,0
"242","4/10/2021",-3,0
"243","4/10/2021",-2,2
"244","4/10/2021",-4,1
"245","4/10/2021",0,2
"246","4/10/2021",-3,1
"247","4/10/2021",-3,-8
"248","4/10/2021",-2,-1
"249","4/10/2021",2,0
"250","4/10/2021",-2,0
"251","4/10/2021",0,2
"252","4/10/2021",1,-2
"253","4/10/2021",-1,1
"254","4/10/2021",-1,0
"255","3/27/2021",0,1
"256","3/27/2021",2,-1
"257","3/27/2021",-1,0
"258","3/27/2021",0,-4
"259","3/27/2021",-1,-1
"260","3/27/2021",4,0
"262","3/27/2021",1,0
"265","3/20/2021",4,0
"266","3/20/2021",-1,0
"268","3/20/2021",2,-1
"269","3/20/2021",3,0
"270","3/20/2021",0,-1
"271","3/20/2021",-2,1
"272","3/20/2021",2,0
"273","3/20/2021",1,1
"274","3/20/2021",0,-1
"275","3/13/2021",0,-3
"276","3/13/2021",1,0
"277","3/13/2021",-1,0
"278","3/13/2021",0,1
"279","3/13/2021",2,0
"280","3/13/2021",1,0
"281","3/13/2021",0,10
"282","3/13/2021",1,0
